package,license,allowed,note
"deepmerge","MIT","YES",""
"default-browser","MIT","YES",""
"default-browser-id","MIT","YES",""
"define-data-property","MIT","YES",""
"define-lazy-prop","MIT","YES",""
"define-properties","MIT","YES",""
"degenerator","MIT","YES",""
"denque","Apache-2.0","YES",""
"depd","MIT","YES",""
"dependency-cruiser","MIT","YES",""
"dequal","MIT","YES",""
"des.js","MIT","YES",""
"detect-libc","Apache-2.0","YES",""
"detect-node-es","MIT","YES",""
"devtools-protocol","BSD-3-Clause","YES",""
"diff","BSD-3-Clause","YES",""
"diff-match-patch","Apache-2.0","YES",""
"doctrine","Apache-2.0","YES",""
"dom-accessibility-api","MIT","YES",""
"dom-helpers","MIT","YES",""
"dotenv","BSD-2-Clause","YES",""
"dunder-proto","MIT","YES",""
"eastasianwidth","MIT","YES",""
"eciesjs","MIT","YES",""
"ee-first","MIT","YES",""
"electron-to-chromium","ISC","YES",""
"embla-carousel","MIT","YES",""
"embla-carousel-react","MIT","YES",""
"embla-carousel-reactive-utils","MIT","YES",""
"emoji-regex","MIT","YES",""
"encodeurl","MIT","YES",""
"end-of-stream","MIT","YES",""
"enhanced-resolve","MIT","YES",""
"entities","BSD-2-Clause","YES",""
"env-paths","MIT","YES",""
"environment","MIT","YES",""
"error-ex","MIT","YES",""
"es-abstract","MIT","YES",""
"es-define-property","MIT","YES",""
"es-errors","MIT","YES",""
"es-module-lexer","MIT","YES",""
"es-object-atoms","MIT","YES",""
"es-set-tostringtag","MIT","YES",""
"es-shim-unscopables","MIT","YES",""
"es-to-primitive","MIT","YES",""
"esbuild","MIT","YES",""
"esbuild-register","MIT","YES",""
"escalade","MIT","YES",""
"escape-html","MIT","YES",""
"escape-string-regexp","MIT","YES",""
"escodegen","BSD-2-Clause","YES",""
"eslint","MIT","YES",""
"eslint-compat-utils","MIT","YES",""
"eslint-config-prettier","MIT","YES",""
"eslint-import-context","MIT","YES",""
"eslint-import-resolver-node","MIT","YES",""
"eslint-import-resolver-typescript","ISC","YES",""
"eslint-module-utils","MIT","YES",""
"eslint-plugin-es-x","MIT","YES",""
"eslint-plugin-eslint-comments","MIT","YES",""
"eslint-plugin-import","MIT","YES",""
"eslint-plugin-n","MIT","YES",""
"eslint-plugin-sonarjs","LGPL-3.0-only","YES","Dev lint tool — not distributed"
